year,pct,sex,race,stopped,arrested,frisked,searched,summoned,contrabn,weapnfnd,pf_weapn,pf_hcuff,cs_objcs,cs_descr,cs_casng,cs_lkout,cs_cloth,cs_drgtr,cs_furtv,cs_vcrim,cs_bulge,rf_vcrim,rf_othsw,rf_attir,rf_vcact,rf_rfcmp,rf_verbl,rf_knowl,rf_furtv,rf_bulge
2003,1.0,F,A,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,1.0,F,B,11.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,1.0,F,I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,1.0,F,P,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,1.0,F,Q,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,1.0,F,W,5.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,1.0,M,A,26.0,0.0,9.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,12.0,6.0,1.0,0.0,0.0,2.0,2.0,0.0,4.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
2003,1.0,M,B,260.0,21.0,114.0,42.0,13.0,4.0,12.0,9.0,22.0,3.0,96.0,74.0,19.0,4.0,2.0,34.0,5.0,11.0,36.0,48.0,20.0,3.0,14.0,2.0,3.0,32.0,17.0
2003,1.0,M,I,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,1.0,M,P,29.0,5.0,9.0,4.0,0.0,1.0,3.0,1.0,4.0,3.0,9.0,10.0,2.0,1.0,1.0,4.0,0.0,2.0,3.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0
2003,1.0,M,Q,108.0,8.0,48.0,20.0,6.0,6.0,5.0,3.0,9.0,3.0,34.0,34.0,15.0,3.0,4.0,13.0,3.0,6.0,13.0,24.0,10.0,3.0,12.0,4.0,0.0,8.0,5.0
2003,1.0,M,W,127.0,4.0,63.0,16.0,11.0,2.0,2.0,8.0,11.0,5.0,31.0,35.0,13.0,2.0,8.0,13.0,10.0,6.0,15.0,18.0,6.0,5.0,16.0,1.0,4.0,16.0,9.0
2003,5.0,F,A,11.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
2003,5.0,F,B,9.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2003,5.0,F,I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,5.0,F,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,5.0,F,Q,11.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,4.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2003,5.0,F,W,5.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2003,5.0,M,A,125.0,19.0,67.0,14.0,17.0,3.0,6.0,1.0,13.0,7.0,33.0,13.0,11.0,4.0,4.0,48.0,3.0,15.0,24.0,20.0,3.0,2.0,23.0,2.0,0.0,36.0,17.0
2003,5.0,M,B,176.0,45.0,93.0,36.0,6.0,4.0,9.0,6.0,32.0,4.0,83.0,43.0,14.0,5.0,8.0,36.0,1.0,14.0,29.0,34.0,11.0,4.0,26.0,4.0,0.0,39.0,12.0
2003,5.0,M,I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003,5.0,M,P,20.0,2.0,13.0,8.0,0.0,0.0,1.0,1.0,1.0,4.0,12.0,4.0,1.0,0.0,0.0,5.0,1.0,2.0,3.0,4.0,1.0,1.0,1.0,0.0,1.0,6.0,2.0
2003,5.0,M,Q,127.0,15.0,65.0,16.0,2.0,3.0,2.0,6.0,20.0,4.0,37.0,30.0,12.0,1.0,7.0,24.0,1.0,8.0,20.0,22.0,9.0,5.0,12.0,1.0,4.0,24.0,8.0
